Date,Action,Price,Amount
2025-02-20,BUY,98305.0,10000.0
2025-02-24,STOP_LOSS,91552.88,9313.145821677434
2025-02-26,BUY,84250.09,9313.145821677434
2025-03-01,SELL,86064.53,9513.717053170294
2025-03-06,BUY,89931.89,9513.717053170294
2025-03-08,SELL,86222.45,9121.302720660302
2025-03-15,BUY,84338.44,9121.302720660302
2025-04-06,STOP_LOSS,78430.0,8482.297898578483
2025-04-08,BUY,76322.42,8482.297898578483
2025-04-09,SELL,82615.22,9181.665190865268
2025-04-11,BUY,83423.84,9181.665190865268
2025-04-22,SELL,90165.78,9923.686126570245
