symbol,year,final_balance,profit,profit_percent,success_trades,failed_trades,total_trades,win_rate,max_drawdown,sharpe_ratio,strategies_used
BTC,2020,193252.92033772805,183252.92033772805,1832.5292033772805,82,37,119,68.90756302521008,100.0,0.3747360550600188,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
BTC,2021,20009.65007454525,10009.65007454525,100.09650074545252,64,44,108,59.25925925925925,100.0,0.13292228261897276,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
BTC,2022,17628.161037606238,7628.161037606238,76.28161037606237,54,39,93,58.06451612903226,100.0,0.12798074433582216,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
BTC,2023,21694.91403596689,11694.914035966889,116.9491403596689,44,31,75,58.666666666666664,100.0,0.20872201330570447,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
BTC,2025,9923.686126570245,-76.3138734297554,-0.763138734297554,3,3,6,50.0,100.0,0.012398722327984094,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
ETH,2020,70588.46986833465,60588.46986833465,605.8846986833464,58,50,108,53.70370370370371,100.0,0.23081602416046482,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
ETH,2021,28267.756196806513,18267.756196806513,182.67756196806513,56,49,105,53.333333333333336,100.0,0.15818810610902936,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
ETH,2022,27700.623334177882,17700.623334177882,177.00623334177882,54,44,98,55.10204081632652,100.0,0.17577411583292296,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
ETH,2023,14177.760412745169,4177.760412745169,41.77760412745168,47,36,83,56.62650602409639,100.0,0.0973333789292607,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
ETH,2025,8893.294819994102,-1106.705180005898,-11.06705180005898,4,2,6,66.66666666666666,100.0,-0.19321596167342625,"{'technical': True, 'ml': True, 'sentiment': False, 'blockchain': False}"
